,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
4785,Port Melbourne,282 Ross St,3,h,1655000.0,S,Chisholm,25/02/2017,3.8,3207.0,3.0,1.0,1.0,220.0,,,Port Phillip,-37.8329,144.942,Southern Metropolitan,8648.0
5885,Strathmore,78 Hillsyde Pde,3,h,905000.0,S,Considine,3/09/2016,9.7,3041.0,3.0,2.0,2.0,662.0,,,Moonee Valley,-37.7356,144.9242,Western Metropolitan,3284.0
4170,Moorabbin,2b Rice St,3,t,910000.0,S,hockingstuart,12/11/2016,14.6,3189.0,3.0,2.0,2.0,312.0,,,Kingston,-37.9412,145.0491,Southern Metropolitan,2555.0
10466,Prahran,5/305 Dandenong Rd,2,u,740000.0,S,Biggin,27/05/2017,4.6,3181.0,2.0,1.0,1.0,0.0,100.0,1940.0,Stonnington,-37.85931,145.00616000000005,Southern Metropolitan,7717.0
1650,Canterbury,29 Rubens Gr,4,h,3800000.0,PI,Marshall,11/02/2017,9.0,3126.0,4.0,1.0,1.0,858.0,,,Boroondara,-37.8183,145.0667,Southern Metropolitan,3265.0
1847,Caulfield South,5 Field St,3,u,1110000.0,S,hockingstuart,16/07/2016,9.3,3162.0,3.0,2.0,1.0,299.0,,,Glen Eira,-37.8891,145.0294,Southern Metropolitan,5051.0
1202,Brighton East,23 Camperdown St,4,t,2570000.0,S,Gary,12/11/2016,10.7,3187.0,4.0,3.0,2.0,898.0,,,Bayside,-37.9176,145.0087,Southern Metropolitan,6938.0
1848,Caulfield South,48A Jupiter St,4,t,1410000.0,S,Gary,19/11/2016,9.3,3162.0,4.0,2.0,3.0,342.0,,2005.0,Glen Eira,-37.8957,145.0196,Southern Metropolitan,5051.0
7603,Brunswick,17 Ballarat St,2,h,830000.0,VB,Nelson,13/05/2017,5.2,3056.0,2.0,1.0,1.0,153.0,,,Moreland,-37.766,144.9609,Northern Metropolitan,11918.0
10108,Ascot Vale,13 Victory Pde,3,h,1370000.0,S,Nelson,27/05/2017,4.3,3032.0,3.0,2.0,2.0,566.0,,,Moonee Valley,-37.7801,144.90976,Western Metropolitan,6567.0
8919,Pascoe Vale,1 Virginia St,4,h,780000.0,VB,Brad,1/07/2017,8.5,3044.0,4.0,2.0,3.0,555.0,128.0,1950.0,Moreland,-37.71561,144.94336,Northern Metropolitan,7485.0
723,Bentleigh,548 Centre Rd,3,h,770000.0,VB,Woodards,10/12/2016,13.0,3204.0,3.0,2.0,2.0,0.0,,1987.0,Glen Eira,-37.9193,145.0438,Southern Metropolitan,6795.0
614,Balwyn North,7 Clifton St,4,h,1400000.0,PI,hockingstuart,8/10/2016,9.2,3104.0,4.0,2.0,2.0,714.0,,,Boroondara,-37.8007,145.1002,Southern Metropolitan,7809.0
12633,Albert Park,121 Richardson St,3,h,1960000.0,S,hockingstuart,16/09/2017,3.0,3206.0,3.0,2.0,,152.0,161.0,1900.0,,-37.84662,144.95675,Southern Metropolitan,3280.0
1383,Brunswick,46 Tinning St,2,h,765000.0,S,Nelson,28/05/2016,5.2,3056.0,2.0,1.0,1.0,199.0,120.0,1880.0,Moreland,-37.759,144.9597,Northern Metropolitan,11918.0
5991,Sunshine,107 Wright St,3,h,607000.0,S,YPA,25/02/2017,12.6,3020.0,3.0,1.0,2.0,563.0,122.0,1965.0,Brimbank,-37.7956,144.826,Western Metropolitan,3755.0
116,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,3206.0,3.0,2.0,0.0,152.0,,,Port Phillip,-37.8488,144.9551,Southern Metropolitan,3280.0
424,Ashwood,3 Harold St,4,h,1500000.0,S,Buxton,15/10/2016,12.2,3147.0,4.0,2.0,1.0,593.0,255.0,1930.0,Monash,-37.8655,145.096,Southern Metropolitan,2894.0
10734,Maidstone,35 Lindenow St,3,h,876000.0,S,Biggin,8/07/2017,6.4,3012.0,3.0,1.0,2.0,420.0,,,Maribyrnong,-37.77915,144.88137,Western Metropolitan,3873.0
2790,Glen Iris,115 Tooronga Rd,2,h,1020000.0,SP,Jellis,12/11/2016,9.2,3146.0,2.0,1.0,0.0,251.0,,1910.0,Stonnington,-37.8627,145.0402,Southern Metropolitan,10412.0
1329,Brunswick,3 Ballarat St,1,t,625000.0,PI,Jellis,18/06/2016,5.2,3056.0,1.0,1.0,1.0,82.0,114.0,1930.0,Moreland,-37.7661,144.9614,Northern Metropolitan,11918.0
1280,Brunswick,78 Stewart St,3,h,910000.0,S,Jellis,8/10/2016,5.2,3056.0,2.0,1.0,1.0,215.0,,,Moreland,-37.7642,144.9688,Northern Metropolitan,11918.0
7110,Kingsville,74 Chirnside St,3,h,1340000.0,S,Jas,19/11/2016,7.8,3012.0,3.0,2.0,0.0,272.0,132.0,1915.0,Maribyrnong,-37.8079,144.8825,Western Metropolitan,1808.0
3692,Kew East,2/37 Strathalbyn St,2,u,605000.0,S,Nelson,7/05/2016,7.5,3102.0,2.0,1.0,1.0,0.0,83.0,1960.0,Boroondara,-37.7969,145.0511,Southern Metropolitan,2671.0
6030,Sunshine North,121 Warwick Rd,3,h,605000.0,SP,Barry,12/11/2016,13.3,3020.0,3.0,1.0,1.0,617.0,,,Brimbank,-37.7683,144.8314,Western Metropolitan,4217.0
3196,Hawthorn,10/32 Manningtree Rd,2,u,805000.0,S,Kay,22/08/2016,4.6,3122.0,2.0,1.0,1.0,0.0,,1970.0,Boroondara,-37.8235,145.0294,Southern Metropolitan,11308.0
3173,Hawthorn,2 Fordholm Rd,5,h,4250000.0,PI,Marshall,17/09/2016,4.6,3122.0,5.0,4.0,3.0,1275.0,435.0,1930.0,Boroondara,-37.8291,145.0308,Southern Metropolitan,11308.0
10506,South Melbourne,67 Dow St,1,h,807500.0,S,Greg,27/05/2017,1.9,3205.0,1.0,1.0,0.0,74.0,,1900.0,Port Phillip,-37.83627,144.9605,Southern Metropolitan,5943.0
11478,Point Cook,15 Metcalf Wy,4,h,698000.0,S,hockingstuart,15/07/2017,14.7,3030.0,4.0,2.0,2.0,448.0,190.0,2012.0,Wyndham,-37.8914,144.72014,Western Metropolitan,15542.0
3539,Kensington,119/71 Henry St,1,u,370000.0,VB,Edward,12/06/2016,4.2,3031.0,1.0,1.0,1.0,0.0,50.0,2012.0,Melbourne,-37.7961,144.9261,Northern Metropolitan,5263.0
439,Avondale Heights,8 Norma Ct,3,h,850000.0,S,Moonee,3/09/2016,10.5,3034.0,3.0,1.0,1.0,593.0,118.0,1970.0,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502.0
11442,Mooroolbark,36 Bellara Dr,3,h,637500.0,SP,hockingstuart,15/07/2017,26.5,3138.0,3.0,1.0,1.0,609.0,,,Yarra Ranges,-37.77293,145.30819,Eastern Victoria,8280.0
5671,South Yarra,37 Grosvenor St,3,h,1810000.0,S,hockingstuart,18/06/2016,3.3,3141.0,3.0,1.0,1.0,211.0,18.0,1906.0,Stonnington,-37.8442,144.9928,Southern Metropolitan,14887.0
12168,St Kilda,45/151 Fitzroy St,2,u,600000.0,VB,hockingstuart,29/07/2017,5.0,3182.0,2.0,1.0,1.0,0.0,82.0,1930.0,Port Phillip,-37.85911,144.97899999999996,Southern Metropolitan,13240.0
10542,Thornbury,118 Rossmoyne St,4,h,1400000.0,S,McGrath,27/05/2017,7.0,3071.0,4.0,2.0,0.0,364.0,,,Darebin,-37.75807,145.00782,Northern Metropolitan,8870.0
1216,Brighton East,2/111 Thomas St,3,t,940000.0,S,hockingstuart,16/04/2016,10.7,3187.0,3.0,2.0,3.0,0.0,,2004.0,Bayside,-37.9089,145.0246,Southern Metropolitan,6938.0
52,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464.0
